사고일시,요일,시군구,요일_label,노면상태,노면상태_label,기상상태,도로형태,기상상태_label,도로형태_label,사상자합계
2022년 7월 9일 21시,토요일,세종특별자치시 도담동,6,건조,0,맑음,단일로 - 기타,0,1,2
2022년 7월 11일 18시,월요일,세종특별자치시 집현동,1,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 12일 10시,화요일,세종특별자치시 어진동,5,건조,0,흐림,교차로 - 교차로안,1,0,1
2022년 7월 12일 15시,화요일,세종특별자치시 소담동,5,건조,0,흐림,단일로 - 기타,1,1,2
2022년 7월 12일 15시,화요일,세종특별자치시 금남면,5,건조,0,맑음,단일로 - 기타,0,1,2
2022년 7월 13일 08시,수요일,세종특별자치시 종촌동,2,건조,0,맑음,단일로 - 기타,0,1,1
2022년 7월 13일 09시,수요일,세종특별자치시 고운동,2,건조,0,맑음,기타 - 기타,0,2,1
2022년 7월 13일 16시,수요일,세종특별자치시 종촌동,2,젖음/습기,1,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 13일 23시,수요일,세종특별자치시 보람동,2,건조,0,맑음,교차로 - 교차로횡단보도내,0,7,1
2022년 7월 14일 08시,목요일,세종특별자치시 어진동,3,건조,0,맑음,교차로 - 교차로부근,0,4,1
2022년 7월 14일 14시,목요일,세종특별자치시 도담동,3,젖음/습기,1,비,교차로 - 교차로부근,4,4,1
2022년 7월 15일 00시,금요일,세종특별자치시 도담동,4,건조,0,기타,단일로 - 기타,3,1,1
2022년 7월 15일 07시,금요일,세종특별자치시 전의면,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 15일 17시,금요일,세종특별자치시 다정동,4,건조,0,맑음,교차로 - 교차로안,0,0,1
2022년 7월 15일 21시,금요일,세종특별자치시 금남면,4,건조,0,흐림,단일로 - 기타,1,1,1
2022년 7월 16일 12시,토요일,세종특별자치시 장군면,6,건조,0,흐림,교차로 - 교차로안,1,0,1
2022년 7월 16일 19시,토요일,세종특별자치시 조치원읍,6,건조,0,맑음,교차로 - 교차로안,0,0,3
2022년 7월 17일 12시,일요일,세종특별자치시 조치원읍,0,건조,0,맑음,교차로 - 교차로안,0,0,2
2022년 7월 17일 18시,일요일,세종특별자치시 아름동,0,건조,0,맑음,기타 - 기타,0,2,1
2022년 7월 18일 19시,월요일,세종특별자치시 조치원읍,1,젖음/습기,1,비,단일로 - 기타,4,1,1
2022년 7월 18일 19시,월요일,세종특별자치시 집현동,1,젖음/습기,1,흐림,단일로 - 기타,1,1,1
2022년 7월 19일 06시,화요일,세종특별자치시 세종동,5,건조,0,맑음,교차로 - 교차로부근,0,4,1
